RBD,ESTABLECIMIENTO,COMUNA,DC_TOT,MAT_TOTAL,RAZON_DOC_EST
1,LICEO POLITECNICO ARICA,15101,71,664,0.10692771084337349
2,PARVULARIO LAS ESPIGUITAS,15101,16,170,0.09411764705882353
3,ESC. PEDRO VICENTE GUTIERREZ TORRES,15101,28,470,0.059574468085106386
4,LICEO OCTAVIO PALMA PEREZ,15101,64,974,0.06570841889117043
5,JOVINA NARANJO FERNANDEZ,15101,70,818,0.08557457212713937
7,L. POLI. ANTONIO VARAS DE LA BARRA,15101,99,1144,0.08653846153846154
8,COLEGIO INTEGRADO EDUARDO FREI MONTALVA,15101,58,670,0.08656716417910448
9,ESCUELA REPUBLICA DE ISRAEL,15101,88,1436,0.06128133704735376
10,ESCUELA REPUBLICA DE FRANCIA,15101,21,203,0.10344827586206896
11,ESC. GRAL. PEDRO LAGOS MARCHANT,15101,35,332,0.10542168674698796
12,ESCUELA GRAL JOSE MIGUEL CARRERA,15101,33,328,0.10060975609756098
13,ESCUELA MANUEL RODRIGUEZ ERDOYZA,15101,29,273,0.10622710622710622
14,ESCUELA ROMULO J. PENA MATURANA,15101,31,346,0.08959537572254335
16,ESCUELA REGIMIENTO RANCAGUA,15101,29,308,0.09415584415584416
17,ESCUELA SUBTTE. LUIS CRUZ MARTINEZ,15101,35,426,0.08215962441314555
18,ESC. COMTE. JUAN JOSE SAN MARTIN,15101,38,332,0.1144578313253012
19,ESC. HUMBERTO VALENZUELA GARCIA,15101,29,292,0.09931506849315068
20,ESCUELA TUCAPEL,15101,49,463,0.10583153347732181
22,ESCUELA GABRIELA MISTRAL,15101,73,941,0.077577045696068
25,COLEGIO CENTENARIO DE ARICA,15101,61,756,0.08068783068783068
26,ESCUELA REPUBLICA DE ARGENTINA,15101,25,253,0.09881422924901186
27,ESCUELA ESMERALDA,15101,29,299,0.09698996655518395
28,ESCUELA RICARDO SILVA ARRIAGADA,15101,50,858,0.05827505827505827
29,ESCUELA AMERICA,15101,45,519,0.08670520231213873
30,ESCUELA DR. RICARDO OLEA GUERRA,15101,24,163,0.147239263803681
31,ESCUELA DARIO SALAS DIAZ,15101,31,412,0.07524271844660194
32,LICEO AGRICOLA JOSE ABELARDO NUNEZ M.,15101,58,781,0.07426376440460948
33,ESCUELA CARLOS CONDELL DE LA HAZA,15101,19,194,0.0979381443298969
35,ESCUELA GRAL. MANUEL BAQUEDANO,15101,10,110,0.09090909090909091
36,ESCUELA IGNACIO CARRERA PINTO,15101,28,286,0.0979020979020979
38,ESCUELA ESPAÑA,15101,41,513,0.07992202729044834
39,ESCUELA PAMPA ALGODONAL,15101,9,75,0.12
41,ESCUELA VALLE DE CHACA,15101,4,41,0.0975609756097561
42,ESCUELA MOLINOS LLUTA,15101,4,23,0.17391304347826086
43,JARDIN INFANTIL CEPILLIN,15101,3,22,0.13636363636363635
45,COLEGIO ITALIANO SANTA ANA,15101,57,940,0.06063829787234042
49,JARDIN INFANTIL PADRE LUIS GALLARDO,15101,2,13,0.15384615384615385
50,COLEGIO ADVENTISTA DE ARICA,15101,45,578,0.07785467128027682
52,LICEO BICENTENARIO DOMINGO SANTA MARIA,15101,161,4018,0.04006968641114982
56,COLEGIO SAN MARCOS DE ARICA,15101,58,1002,0.05788423153692615
59,COLEGIO SAN JORGE,15101,44,441,0.09977324263038549
60,COLEGIO ALEMAN DE ARICA,15101,48,1032,0.046511627906976744
66,JARDIN INFANTIL PLUTO,15101,1,6,0.16666666666666666
67,ABRAHAM LINCOLN SCHOOL,15101,32,764,0.041884816753926704
69,JUNIOR COLLEGE,15101,62,696,0.08908045977011494
70,ESCUELA VALLE DE ESQUINA,15102,3,9,0.3333333333333333
72,LICEO VALLE DE CODPA,15102,13,70,0.18571428571428572
73,ESCUELA VALLE DE COBIJA,15102,2,2,1.0
74,ESCUELA VALLE DE CAMARONES,15102,3,15,0.2
75,ESCUELA VALLE DE GUANACAGUA,15102,3,3,1.0
76,ESCUELA VALLE DE CUYA,15102,3,7,0.42857142857142855
