Nombre,Num_vistas,ID_del_Nodo
"""fextralife""",1451487256,"""156037856"""
"""riotgames""",1272988816,"""36029255"""
"""esl_csgo""",610467739,"""31239503"""
"""shroud""",470283753,"""37402112"""
"""beyondthesummit""",469790640,"""29578325"""
"""summit1g""",449304545,"""26490481"""
"""lirik""",387742294,"""23161357"""
"""sodapoppin""",362553070,"""26301881"""
"""xqcow""",341904167,"""71092938"""
"""imaqtpie""",339812323,"""24991333"""
"""igromania""",287407089,"""43534020"""
"""lck_korea""",258710767,"""190835892"""
"""nl_kripp""",254986488,"""29795919"""
"""ogaminglol""",251200801,"""71852533"""
"""loltyler1""",237354201,"""51496027"""
"""rocketleague""",234457106,"""57781936"""
"""dyrus""",227040980,"""30080751"""
"""yoda""",215140727,"""47071880"""
"""tsm_theoddone""",214857906,"""30080840"""
"""amouranth""",214563620,"""125387632"""
"""lvpes""",203270254,"""22346597"""
"""cblol""",201988073,"""36511475"""
"""cohhcarnage""",195239917,"""26610234"""
"""ibai""",188066512,"""83232866"""
"""smitegame""",187157548,"""31500812"""
"""dreadztv""",186308314,"""31089858"""
"""izakooo""",176823989,"""36717908"""
"""pokimane""",174477299,"""44445592"""
"""alanzoka""",166758215,"""38244180"""
"""drlupo""",161656718,"""29829912"""
