Nombre,pagerank,ID_Del_Nodo
"""yassuo""",27115.19300072124,"""121203480"""
"""trainwreckstv""",23731.962030380615,"""71190292"""
"""riotgames""",16071.769903521406,"""36029255"""
"""loltyler1""",12968.519773729013,"""51496027"""
"""xqcow""",12166.968110834692,"""71092938"""
"""enardo""",8897.815030948148,"""78131255"""
"""csgomc_ru""",8024.528236564505,"""213748641"""
"""esl_csgo""",7497.162711280263,"""31239503"""
"""roshtein""",7067.987233151214,"""72550899"""
"""itsbigchase""",6844.8658116958195,"""129004176"""
"""grab""",6844.817189990196,"""93936044"""
"""elraenn""",6768.775156344074,"""165080419"""
"""baboabe""",6023.51796443354,"""52028814"""
"""doaenel""",5518.05388904421,"""466139555"""
"""cblol""",5397.1900426938555,"""36511475"""
"""k3soju""",4777.822132746911,"""128293484"""
"""kiyoon""",4724.099016077561,"""117783070"""
"""spoonkid""",4661.687465777182,"""119925910"""
"""lck_korea""",4627.570426593039,"""190835892"""
"""purpled""",3914.388074034161,"""490245656"""
"""tommyinnit""",3897.7586669947677,"""116228390"""
"""gtimetv""",3817.3958153795875,"""60160906"""
"""pokimane""",3740.6578325299597,"""44445592"""
"""auronplay""",3730.1113939432994,"""459331509"""
"""dota2mc_ru""",3708.071786496547,"""213749122"""
"""rraenee""",3671.0567949714705,"""145202260"""
"""vondice""",3666.127416223407,"""638511570"""
"""xhankyy""",3626.9632436513452,"""48870826"""
"""fps_shaka""",3599.5952578131964,"""49207184"""
"""xchocobars""",3581.72902184833,"""42583390"""


riotgames
